Date,SP500,MSCI World
1999-01-01,32.92,23.1
2000-01-01,29.04,25.6
2001-01-01,27.55,21.7
2002-01-01,46.17,22.0
2003-01-01,31.43,16.5
2004-01-01,22.73,17.3
2005-01-01,19.99,15.9
2006-01-01,18.07,15.1
2007-01-01,17.36,15.2
2008-01-01,21.46,14.0
2009-01-01,70.91,11.2
2010-01-01,20.7,15.1
2011-01-01,16.3,12.5
2012-01-01,14.87,11.6
2013-01-01,17.03,13.0
2014-01-01,18.15,14.6
2015-01-01,20.02,15.3
2016-01-01,22.18,14.4
2017-01-01,23.59,16.5
2018-01-01,24.97,17.1
2019-01-01,19.6,13.5
2020-01-01,24.88,17.1
2021-01-01,35.96,20.7
2022-01-01,23.11,19.1
2023-01-01,22.82,15.7
2024-01-01,25.01,18.9
