Date,STOXX Europe 600
12/1986,10000
01/1987,10054.37737901033
02/1987,10361.609570418705
03/1987,10687.873844480695
04/1987,10969.276780859162
05/1987,11131.0494834149
06/1987,11510.331702011963
07/1987,12092.169657422512
08/1987,11858.346927678085
09/1987,12135.671560630777
10/1987,9250.95160413268
11/1987,8397.226753670473
12/1987,8636.487221315932
01/1988,8753.398586188145
02/1988,9176.182707993474
03/1988,9271.343121261554
04/1988,9586.731919521479
05/1988,9673.73572593801
06/1988,10089.722675367047
07/1988,10361.609570418705
08/1988,9963.295269168028
09/1988,10488.036976617726
10/1988,10811.5823817292
11/1988,10621.26155519304
12/1988,10830.614464382816
01/1989,11818.923327895594
02/1989,11438.281674823273
03/1989,11911.364872213158
04/1989,12195.48667754214
05/1989,12353.181076672105
06/1989,12559.815116911364
07/1989,13424.415443175638
08/1989,13923.327895595432
09/1989,13716.693855356172
10/1989,12680.804785209353
11/1989,13167.482327351821
12/1989,13858.075040783035
01/1990,13606.57966286025
02/1990,13296.62860250136
03/1990,13550.842849374661
04/1990,13133.496465470364
05/1990,14174.823273518216
06/1990,14399.129961935834
07/1990,14427.678085916259
08/1990,12811.310494834148
09/1990,11351.277868406742
10/1990,11840.674279499728
11/1990,11842.033713974986
12/1990,11738.716693855356
01/1991,11881.457313757477
02/1991,13253.126699293094
03/1991,13814.57313757477
04/1991,13926.046764545948
05/1991,14293.094072865688
06/1991,13825.448613376835
07/1991,14272.702555736812
08/1991,14522.83849918434
09/1991,14378.73844480696
10/1991,14119.086460032626
11/1991,13522.294725394235
12/1991,13594.344752582925
01/1992,14287.656334964655
02/1992,14552.74605764002
03/1992,14150.353452963567
04/1992,15054.377379010331
05/1992,15382.00108754758
06/1992,14487.493202827623
07/1992,13622.892876563348
08/1992,13028.820010875475
09/1992,13329.255029907557
10/1992,13364.600326264273
11/1992,13905.655247417075
12/1992,14376.019575856444
01/1993,14378.73844480696
02/1993,15023.11038607939
03/1993,15501.631321370309
04/1993,15448.613376835236
05/1993,15749.04839586732
06/1993,16436.922240348016
07/1993,17495.921696574223
08/1993,18293.90973355084
09/1993,17843.936922240347
10/1993,18825.448613376833
11/1993,18662.31647634584
12/1993,20225.666122892875
01/1994,21179.989124524196
02/1994,20111.47362697118
03/1994,19263.186514410005
04/1994,19903.48015225666
05/1994,18980.42414355628
06/1994,18317.020119630233
07/1994,19302.610114192496
08/1994,19823.27351821642
09/1994,18689.505165851006
10/1994,19000.815660685155
11/1994,19023.926046764544
12/1994,18927.406199021207
01/1995,18466.557911908647
02/1995,18484.230560087002
03/1995,18455.682436106577
04/1995,19121.805328983144
05/1995,19892.604676454597
06/1995,19800.16313213703
07/1995,20638.9342033714
08/1995,20897.22675367047
09/1995,21098.423056008698
10/1995,21004.622077215878
11/1995,21548.395867319196
12/1995,22180.5328983143
01/1996,23045.133224578574
02/1996,23129.418162044585
03/1996,23448.885263730288
04/1996,24271.343121261554
05/1996,24384.176182707994
06/1996,24505.165851005982
07/1996,23579.390973355083
08/1996,24321.64219684611
09/1996,25352.093529091897
10/1996,25625.339858618812
11/1996,27089.450788471993
12/1996,27676.72648178358
01/1997,29494.290375203913
02/1997,30632.137030995105
03/1997,31246.60141381185
04/1997,32081.294181620444
05/1997,33208.26536160957
06/1997,35239.260467645465
07/1997,38572.59380097879
08/1997,36033.1702011963
09/1997,38712.615551930394
10/1997,35859.16258836324
11/1997,37109.84230560087
12/1997,39072.86568787384
01/1998,41305.057096247954
02/1998,44102.773246329525
03/1998,47898.31430125067
04/1998,48062.80587275693
05/1998,49223.76291462751
06/1998,50073.395867319196
07/1998,50512.50679717238
08/1998,43800.978792822185
09/1998,39862.69711799891
10/1998,42555.736813485586
11/1998,45920.33713974986
12/1998,47308.31973898858
01/1999,48845.840130505705
02/1999,49158.51005981512
03/1999,50516.58510059815
04/1999,53212.34366503535
05/1999,51491.299619358346
06/1999,53051.930396954864
07/1999,51665.30723219141
08/1999,53042.414355628054
09/1999,52255.3017944535
10/1999,54571.77814029364
11/1999,58883.90429581294
12/1999,65357.531266992926
01/2000,62179.17346383904
02/2000,66555.19303969548
03/2000,68056.00870038064
04/2000,67935.01903208265
05/2000,65986.94942903752
06/2000,65482.59923871669
07/2000,66568.78738444806
08/2000,68825.44861337684
09/2000,65808.86351277868
10/2000,67695.75856443719
11/2000,63413.539967373574
12/2000,62852.09352909189
01/2001,63319.73898858075
02/2001,58621.53344208809
03/2001,56426.04676454595
04/2001,60133.22457857531
05/2001,60367.047308319736
06/2001,58238.17292006525
07/2001,56082.109842305596
08/2001,52789.55954323002
09/2001,47274.33387710712
10/2001,49274.06199021207
11/2001,51367.591082109844
12/2001,53017.94453507341
01/2002,52032.35454051114
02/2002,51650.353452963565
03/2002,54147.63458401305
04/2002,52077.21587819467
05/2002,50205.274605764
06/2002,45799.347471451874
07/2002,41083.46927678086
08/2002,41064.43719412724
09/2002,35292.27841218053
10/2002,38631.0494834149
11/2002,40386.079390973355
12/2002,36922.24034801523
01/2003,34362.42523110386
02/2003,33117.18325176727
03/2003,32278.412180532898
04/2003,35837.411636759105
05/2003,36310.494834148994
06/2003,37588.36324089179
07/2003,39157.150625339855
08/2003,39944.26318651441
09/2003,38516.8569874932
10/2003,41280.58727569332
11/2003,41663.94779771615
12/2003,42801.79445350734
01/2004,44044.31756389342
02/2004,45373.84448069603
03/2004,44424.95921696574
04/2004,45061.174551386626
05/2004,44963.295269168026
06/2004,45738.17292006525
07/2004,44932.028276237084
08/2004,44544.58945078847
09/2004,45361.6095704187
10/2004,45872.75693311582
11/2004,47137.03099510603
12/2004,48039.69548667754
01/2005,49172.1044045677
02/2005,50691.95214790647
03/2005,50448.61337683524
04/2005,49520.11963023382
05/2005,51977.977161500814
06/2005,53776.50897226753
07/2005,55589.994562262094
08/2005,55712.34366503535
09/2005,58209.62479608483
10/2005,56848.83088635128
11/2005,58764.27406199021
12/2005,60856.443719412724
01/2006,63054.649265905384
02/2006,64472.53942359978
03/2006,66003.26264274062
04/2006,66627.24306688417
05/2006,63557.64002175095
06/2006,64074.225122349104
07/2006,65202.55573681348
08/2006,67127.51495377923
09/2006,68511.41924959217
10/2006,70940.72865687874
11/2006,70777.59651984774
12/2006,73512.77868406742
01/2007,75055.7368134856
02/2007,73580.75040783035
03/2007,75696.03045133226
04/2007,78606.57966286025
05/2007,81133.76835236543
06/2007,80679.71723762914
07/2007,77941.81620445894
08/2007,77297.44426318651
09/2007,77739.26046764545
10/2007,79986.40565524742
11/2007,76404.29581294181
12/2007,75250.13594344753
01/2008,66530.72321914084
02/2008,65969.27678085916
03/2008,63515.49755301794
04/2008,67476.8896139206
05/2008,67899.67373572594
06/2008,61113.37683523654
07/2008,59980.96791734638
08/2008,61075.312669929306
09/2008,54333.87710712344
10/2008,47165.57911908646
11/2008,43968.18923327896
12/2008,42313.757476889616
01/2009,40841.48994018488
02/2009,37048.6541598695
03/2009,37911.90864600326
04/2009,43323.817292006526
05/2009,45449.972811310494
06/2009,45043.48830886351
07/2009,49272.70255573681
08/2009,51824.361065796635
09/2009,53289.831430125065
10/2009,52101.685698749316
11/2009,52728.38499184339
12/2009,56020.92169657422
01/2010,54518.760195758565
02/2010,54363.784665579115
03/2010,58457.04187058184
04/2010,57876.563349646545
05/2010,55023.11038607939
06/2010,54756.661228928766
07/2010,57520.391517128875
08/2010,56725.12234910277
09/2010,58674.55138662316
10/2010,60131.865144100055
11/2010,59321.64219684611
12/2010,62527.188689505165
01/2011,63546.764545948885
02/2011,65116.91136487221
03/2011,62877.9227841218
04/2011,65014.95377922784
05/2011,64944.26318651441
06/2011,63186.51441000544
07/2011,61480.42414355628
08/2011,55167.210440456765
09/2011,52637.30288200109
10/2011,56700.63893420337
11/2011,56069.87493202827
12/2011,57143.82816748232
01/2012,59522.838499184334
02/2012,61992.93094072866
03/2012,61945.350734094616
04/2012,60923.056008700376
05/2012,57248.50462207721
06/2012,60141.38118542686
07/2012,62645.45948885263
08/2012,63976.3458401305
09/2012,64611.201740076125
10/2012,65118.27079934747
11/2012,66547.03643284393
12/2012,67532.6264274062
01/2013,69431.75638934203
02/2013,70227.02555736814
03/2013,71379.82599238718
04/2013,72563.89342033713
05/2013,74044.31756389342
06/2013,70290.90538336051
07/2013,73950.5165851006
08/2013,73569.86133768353
09/2013,76893.69222403479
10/2013,79917.07449700923
11/2013,80738.17292006525
12/2013,81571.50625339858
01/2014,80220.22838499185
02/2014,84227.84121805329
03/2014,83563.07775965199
04/2014,84870.8401305057
05/2014,87078.57531266993
06/2014,86623.1647634584
07/2014,85206.63404023925
08/2014,86939.91299619358
09/2014,87293.36595976073
10/2014,85776.23708537249
11/2014,88576.67210440458
12/2014,87444.2631865144
01/2015,93786.02501359434
02/2015,100335.78031538881
03/2015,102017.40076128331
04/2015,102119.3583469277
05/2015,103824.08917890157
06/2015,99165.30723219141
07/2015,103145.73137574768
08/2015,94657.4225122349
09/2015,90812.94181620446
10/2015,98152.52854812398
11/2015,100914.89940184883
12/2015,95840.13050570962
01/2016,89736.26971179989
02/2016,87755.57368134856
03/2016,88984.50244698206
04/2016,90542.41435562806
05/2016,92803.1538879826
06/2016,88317.02011963024
07/2016,91609.57041870581
08/2016,92287.9282218597
09/2016,92188.68950516585
10/2016,91235.72593800978
11/2016,92196.8461120174
12/2016,97500
01/2017,97198.20554649265
02/2017,100164.4779771615
03/2017,103489.66829798803
04/2017,105535.61718325177
05/2017,107070.41870581837
06/2017,104366.50353452963
07/2017,103999.45622620989
08/2017,103176.99836867863
09/2017,107198.20554649265
10/2017,109246.87330070691
11/2017,107040.51114736269
12/2017,107812.66992930941
01/2018,109603.04513322457
02/2018,105426.8624252311
03/2018,103330.61446438282
04/2018,107970.36432843936
05/2018,108114.46438281675
06/2018,107437.45241979336
07/2018,110807.50407830342
08/2018,108436.65035345296
09/2018,108787.3844480696
10/2018,102771.88689505166
11/2018,101756.38934203371
12/2018,96204.4453507341
01/2019,102289.28765633497
02/2019,106534.8015225666
03/2019,108728.91517128874
04/2019,112818.10766721044
05/2019,107248.5046220772
06/2019,112039.15171288744
07/2019,112389.88580750408
08/2019,110872.75693311582
09/2019,114971.45187601958
10/2019,116170.47308319739
11/2019,119456.22620989667
12/2019,122005.16585100598
01/2020,120569.60304513322
02/2020,110513.86623164764
03/2020,94473.89885807504
04/2020,100615.82381729201
05/2020,104041.5986949429
06/2020,107221.31593257205
07/2020,106199.02120717781
08/2020,109442.61827079934
09/2020,107903.7520391517
10/2020,102393.96411092985
11/2020,116566.06851549755
12/2020,119574.49700924415
01/2021,118678.62969004894
02/2021,121571.50625339858
03/2021,129381.45731375748
04/2021,132244.42631865144
05/2021,135666.12289287656
06/2021,137695.7585644372
07/2021,140528.82001087547
08/2021,143586.18814573137
09/2021,138862.1533442088
10/2021,145348.0152256661
11/2021,141676.18270799346
12/2021,149359.70636215335
01/2022,143641.924959217
02/2022,138979.06470908102
03/2022,140365.68787384446
04/2022,139354.26862425232
05/2022,138076.4002175095
06/2022,127002.44698205547
07/2022,136829.79880369766
08/2022,129918.4339314845
09/2022,121507.61283306144
10/2022,129219.68461120174
11/2022,138128.05872756933
12/2022,133463.83904295813
01/2023,142453.77922784124
02/2023,145125.06797172377
03/2023,144665.57911908647
04/2023,148204.1870581838
05/2023,144467.10168569876
06/2023,147951.33224578574
07/2023,151122.89287656333
08/2023,147285.20935290918
09/2023,144835.50842849375
10/2023,139598.96682979882
11/2023,148847.19956498095
12/2023,154550.01359434475
01/2024,156809.40728656878
02/2024,159921.15280043503
03/2024,166375.73409461664
04/2024,164767.53670473082
05/2024,170224.30668841762
06/2024,168250.40783034256
07/2024,170615.823817292
